0	When a vaccine is safe and effective you don’t need to promote it no?
1	Everybody that does not take the vaccine will die
0	Well I wont b takin vaccine coz i dont trust it
0	I have sickle cell anemia. I'm not taking the vaccine until they do study on people like me. I'm on vitamin D3 and liquid vitamin A - zink. My diet is all organic I don't eat fast food, I cook my meals.
1	I’m in the moderna clinical trial, so feel free to ask any Q about the vaccine.
1	I just got my 2nd Dose today! Let’s go
0	I am 24 and healthy going to wait to take it in case there are long term problems
0	No way, i will only take it after 2 years. It is a rush job.....
0	The flu shot made me sick last time I got one. No vaccines for me.
0	I’m glad that they didn’t make it mandatory. No vaccins for us
0	If enough sheeple get the vaccine then that means I won't have to.
1	As soon as I can, I will be vaccinated. The only way to deal with this pandemic right now. Thank you for your engagement
1	Nursing home I work at has had zero cases among staff or residents since the first round of vaccines. Just got our second round last week as well. Morale is way up and the results have caused some vaccine doubters among the staff to sign up for the next vaccine round in two weeks. Definitely light at the end of the tunnel
0	At what month or year after taking a vaccine  for Covid do you become sterile or your health deteriorates until death?   And by then nobody will question or even think about you being sterile or have died because of the vaccine you took a few months or years ago.   The pushers of the vaccines response?   In public, "we didnt know"   In private, "Mission accomplished"
1	I wish 7 billion were waiting for the vaccine. Smh anti vaxxers
0	I will NEVER take it, if you are vaccinated you are supposedly safe, so mind your business.
0	If I can't hold someone accountable for a product that can hurt me then I don't have to take it period dot.
1	Thanks UNICEF for your lovely effort to save the life of the universe
1	It’s weird how when a virus has a 3% chance of death, people go “Oh it’s not that serious, the chance of you dying is only 3% why you taking it so seriously?” But when a vaccine has a 5% chance of either not working or has adverse side effects (not even a 5% chance of death, just side effects) people go “NO THE VACCINE BAD!! TOO DANGEROUS! I DONT TRUST IT!”
0	Id rather catch the virus with a 98% survival rate then get that poison vaccine
0	We don't want yur evil vaccines
0	Relatively new, experimental..... No, thanks, but no....
1	I’d like to see the venn diagram of C19 vaccine hesitancy and Trump support.
0	How about the deaths in Norway after vaccine?
0	We simply don't know about long term effects. There hasn't been enough time
1	I'm going to take it. I just want myself and family to be safe and alive, all that matters at this point.
1	Love this. Let's keep it up!
1	I’m willing to take the minute it is available so that I can live a normal life soon and hopefully trigger others in my circle to follow suit.
0	No serious effects? Tell that to Hank Aaron.... oh wait... he's dead 2 days after taking the vaccine.
0	It's not a vaccine. It cannot be mandated. The immune system is more effective than any vaccine.. with no side effects. Healthy people are healthy people. They need no treatment. And get a better test as the PCR is not a valid diagnostic tool, according to the man who created it.
1	Sounds like a great vaccine I am excited about it. Since my children have asthma problems.
